id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-05-26 13:28:19,"{""short_code"":""KBm1k2"",""original_url"":""https://acme.dev/keen/uplink/1""}"
2,2,338,created,2025-01-12 02:19:10,"{""short_code"":""rlEGHv"",""original_url"":""https://acme.dev/warm/engine/2""}"
3,3,207,created,2025-10-14 19:56:38,"{""short_code"":""00afdp"",""original_url"":""https://acme.dev/vivid/river/3""}"
4,4,345,created,2025-12-01 21:41:49,"{""short_code"":""X5YbQm"",""original_url"":""https://acme.dev/warm/canyon/4""}"
5,5,363,created,2025-05-10 03:24:48,"{""short_code"":""5KD4fG"",""original_url"":""https://seeded.app/forest/journey/5""}"
6,6,328,created,2025-10-20 19:54:33,"{""short_code"":""fPm4vy"",""original_url"":""https://opswise.net/amber/canyon/6""}"
7,7,29,created,2026-02-17 19:26:48,"{""short_code"":""nNtD6w"",""original_url"":""https://example.com/harbor/orbit/7""}"
8,8,15,created,2025-03-21 00:17:34,"{""short_code"":""cJjPZh"",""original_url"":""https://seeded.app/gold/lagoon/8""}"
9,9,317,created,2025-08-31 11:11:34,"{""short_code"":""N7ARsx"",""original_url"":""https://relay.cloud/amber/harvest/9""}"
10,10,382,created,2025-12-22 10:01:23,"{""short_code"":""tgTeQ3"",""original_url"":""https://relay.cloud/quiet/trail/10""}"
11,11,33,created,2025-03-21 00:42:05,"{""short_code"":""sJZnZ2"",""original_url"":""https://hackstack.io/brisk/yard/11""}"
12,12,122,created,2025-11-02 19:59:13,"{""short_code"":""mSeYJL"",""original_url"":""https://opswise.net/clear/garden/12""}"
13,13,231,created,2025-12-14 01:57:05,"{""short_code"":""NNL5Ri"",""original_url"":""https://example.com/opal/river/13""}"
14,14,181,created,2025-10-27 09:26:46,"{""short_code"":""ZEGRUN"",""original_url"":""https://seeded.app/tidy/delta/14""}"
15,15,194,created,2025-02-14 17:08:39,"{""short_code"":""MU6u9a"",""original_url"":""https://hackstack.io/clear/harvest/15""}"
16,16,253,created,2026-01-25 12:35:46,"{""short_code"":""IgpKjz"",""original_url"":""https://example.com/navy/yard/16""}"
17,17,74,created,2026-01-24 12:57:17,"{""short_code"":""0aJVKx"",""original_url"":""https://opswise.net/opal/pioneer/17""}"
